Team,Games Played
Duke,3.1149
Auburn,2.9499
Florida,2.894
Houston,2.8939
Mich. St.,2.4932
Tennessee,2.4647
St. John's,2.4575
Alabama,2.4317
Texas Tech,2.2934
Maryland,2.1749
Iowa St.,2.0828
Arizona,2.0302
Purdue,1.9535
Wisconsin,1.862
Kentucky,1.8094
Michigan,1.7919
Texas A&M,1.755
Illinois,1.7491
BYU,1.7235
Gonzaga,1.7053
Ole Miss,1.6169
Saint Mary's,1.5555
UCLA,1.5346
Oregon,1.4808
UConn,1.4482
Arkansas,1.4226
Drake,1.4225
New Mexico,1.4219
Colo. St.,1.3997
Creighton,1.3756
McNeese,1.3626
Baylor,1.3283
